Ārētium, -ĭi, n.	Areco
Bactra, -orum, n.	Balk
Baetis, -is, m.	Gvadalkivir 
Baliārēs Insulae, f.	 Balearska ostrva 
Baliāris Māior, f.	 Majorka
Baliāris Minor, f.	Minorka
Balticum Mare, n.	Baltik
Bangertium, -ĭi, n.	Bangor
Barcinō, -ōnis, f.	Barselona
Barūthum, -i, n.	Bajrojt
Barvīcum, -i, n.	Berik
Batāvī, -ōrum, m.	Holandija 
Bēnācus, -i, m. jezero	Garda 
Bērytus, -i, f.	 Bejrut
Belgae, -ārum, m.	Belgija
 

Bellŏvăci, -ōrum, m.	 Bove 
Bellofontānum, -i, n.	Fontenblo 
Bergae, -ārum, f.	 Bergen
Berolīnum, -i, n.	Berlin
Bobbium, -ĭi, n.	Bobio
Bodotria, -ae, f. reka	Fort
Boiohaemī, -ōrum, m.	 Bohemija, Češka 
Bolerium Prōmunturium, n. Landzend 
Bonna, -ae, f.	Bon
Bonōnia, -ae, f.	Bolonja 
Borysthēnes, -is, m. reka Dnjepar 
Brabantia, -ae, f.	Brabant 
Brandenburgia, -ae, f.	 Brandenburg 
Bratislavia, -ae, f.	 Vroclav
Brēma, -ae, f.	Bremen
Brigantia, -ae, f.	Bragansa
Bristolium, -ĭi, n.	Bristol
Britannia, -ae, f.	Britanija
Brugae, -ārum, f.	Brige
Brundisium, -ĭi, n.	Brindizi
Brunsvīcum, -i, n.		Braunšvajg, Brunsvik
Bruxellae, -ārum, f.	Brisel
Bucarestum, -i, n.	Bukurešt
Burdigala, -ae, f.	Bordo
Burgī, -ōrum, m.	Burgos 
Burgundiōnēs, -um, m.	Burgonja, Burgundija
Byzantium, -ĭi, n.	Istanbul
Cadomum, -i, n.	Kan (u severnoj Francuskoj)
Caesarea, -ae, f.	Džerzi
Caesaris burgus, m.	Šerbur
Caesarodūnum, -i, n.	Tur
 

Caesaromagus, -i, m.	Čelmsford
Cairus, -i, f.	Kairo
Calēdonia, -ae, f.	Škotska
Calētum, -i, n.	Kale
Callipolis, -is, f.	Galipolj
Calpē, -ēs, f.	Gibraltar
Cambria, -ae, f.	Vels
Camerācum, -i, n.	Kambre
Campānia, -ae, f.	Kampanija
Campānia, -ae, f.	Šampanj 
Camulodūnum, -i, n.	Koulčister
Canoē, -es, f.	Kan (u južnoj Francuskoj)
Cantabrigia, -ae, f.	Kembridž
Cantium, -ĭi, n.	Kent
Cantuāria, -ae, f.	Kanterberi
Capreae, -ārum, f.	Kapri
Caralis, -is, f.	Kaljari
Carnūtēs, -um, m.	Šartr
Carthāgō Nova, f.	Kartagena
Carthāgō, -ĭnis, f.	Kartagina
Casīnum, -i, n.	Monte Kasino
Ceretica, -ae, f.	 Kardigan 
Chersonnesus Cimbrica, f. Jiland Chilonium
Clōta, -ae, f. reka	Klajd 
Cōnfluentēs, -ium, m.	Koblenc 
Colōnia Agrippīna, f.	Keln 
Corcagia, -ae, f.	 Kork
Corcyra, -ae, f.	Krf
Cordoba, -ae, f.	Kordoba
Corinthus, -i, f.	Korint
Cornubia, -ae, f.	Kornvol
 

Cracovia, -ae, f.	Krakov
Crēta, -ae, f.	Krit
Cyrēnae, -ārum, f.	Kirena
Cyprus, -i, f.	Kipar
Dānia, -ae, f.	Danska
Dānum, -i, n.	 Donkaster 
Dānuvius, -ĭi, m. reka	 Gornji Dunav 
Damascus, -i, f.	Damask
Danaster, m.	Dnjestar
Derventiō, -ōnis, f.	Derbi
Deva, -ae, f. reka	Di
Deva, -ae, f.	Čester
Dīvodūrum, -i, n.	Mec
Diviō, -ōnis, f.	Dižon
Dresda, -ae, f.	Drezden 
Dūrobrīvae, -ārum, f. Ročester 
Dublīnum, -i, n.	Dablin
Dubrī, -ōrum, m.	Dover
Dunelmum, -i, n.	Daram
Durius, -ĭi, m. reka	Duro
Durnovāria, -ae, f.	Dorčister
Durovernum, -i, n.	Kanterberi
Ebūdae Insulae, f.	Hebridi
Eburācum, -i, n.	Jork
Ebusus, -i, m.	Ibica
Ecbatana, -ōrum, n.	Hamadan
Edinburgum, -i, n.	Edinburg
Emerita, -ae, f.	Merida
Etrūria, -ae, f.	Toskana
Eurōpa, -ae, f.	Evropa
Faesulae, -ārum, f.	Fezule
Flēvō, m. jezeroi	Zojdersko jezero
Flōrentia, -ae, f.	Firenca
 
Francofurtum, -i, n.	Frankfurt 
Fretum Gāditānum, n.	 Gibraltarski moreuz
Frīsiī, -iōrum, m.	Frizland
Gādēs, -ium, f.	Kadiz
Găngēs, -is, m.	Gang
Gallia, -ae, f.	Francuska
Gallia, -ae, f.	Galija
Gallovidia, -ae, f.	Galovej
Gandavum, -i, n.	Gent
Garumna, -ae, f.	Garona
Gebenna, -ae, f.	Seveni
Gedānum, -i, m.	Gdanjsk
Genāva, -ae, f.	Ženeva
Genua, -ae, f.	Đenova
Germānia, -ae, f.	Nemačka
Gippevīcum, -i, n.	Ipsvič
Glasgua, -ae, f.	Glazgov
Glēvum, -i, n.	Gloster
Gothoburgum, -i, n.	Geteborg
Grātiānopolis, -is, f.	Grenobl
Grātiae Portus, m.	Avr
Graecia, -ae, f.	Grčka
Graecium, -ĭi, n.	Grac
Grenovīcum, -i, n.	Grinič
Groninga, -ae, f.	Groningen
Hafnia, -ae, f.	Kopenhagen
Haga Comitis, f.	Hag
Halla, -ae, f.	Hale
Hamburgum, -i, n.	Hamburg
Hannovera, -ae, f.	Hanover
Harvīcum, -i, n.	Haridž
Hellēspontus, -i, m.	Dardaneli
 

Helvētia, -ae, f.	Švajcarska
Hīspalis, -is, f.	Sevilja
Hibērus, -i, m. reka	Ebro
Hibernia, -ae, f.	Irska 
Hierosolyma, -ōrum, n.	 Jerusalim 
Hispānia, -ae, f.	 Španija
Ilerda, -ae, f.	Lerida
Ilva, -ae, f.	Elba
Isara, -ae, f. reka	Izar 
Isca Dumnoniōrum, f.	 Eksiter
Ister, -tri, m. reka	Donji Dunav 
Isurium Brigantum, n.	 Oldbro 
Italia, -ae, f.	 Italija
Itūna aestuārium, f.	Lornski Fert
Itūna, -ae, f. reka	Eden
Iurāvum, -i, n.	Salcburg 
Lacus Britantīnus, m. jezero Komo 
Lancastria, -ae, f.	Lankaster 
Langobardia, -ae, f.	Lombardija 
Lausōnium, -ĭi, n.	Lozana
Ledesia, -ae, f.	Lids
Lemannus lacus, m. jezero Ženevsko jezero 
Lĭger, -ĕris, m. reka	Loara
Libanus, -i, m.	Liban
Libya, -ae, f.	Afrika
Limōnum, -i, n.	Poatje
Lindum, -i, n.	Linkoln
Lipsia, -ae, f.	Lajpcig
Lōthāringia, -ae, f.		Loren, Lotaringija
Londinium Gothōrum, n. Lund 
Londinium, -ĭi, n.	London
Lūceria, -ae, f.	Lucern
 

Lūsitānia, -ae, f.	Portugalija 
Lugdūnum Batāvōrum, n. Lejden 
Lugdūnum, -i, n.	 Lion
Luguvallium, -ĭi, n.	Karlajl
Lutetia, -ae, f.	Pariz
Māgnus Portus, m.	Portsmaut
Māterna, -ae, f.	Marna
Mancunium, -ĭi, n.	Mančester
Mare Aegaeum, n.	Egejsko more
Mare Atlanticum, n.	Atlantik
Mare Caspium, n.	Kaspijsko more
Mare īnferum, n.	Tirensko more
Mare internum, n.		Sredozemno more, Mediteran
Mare Rubrum, n.	Persijski zaliv
Mare superum, n.	Jadransko more
Maridūnum, -i, n.	Karmarden
Massilia, -ae, f.	Marsej
Matrītum, -i, n.	Madrid
Mattiacum, -i, n.	Vizbaden
Maurētānia, -ae, f.	Maroko
Mediōlanūm, -i, n.	Milano
Melita, -ae, f.	Malta
Melodūnum, -i, n.	 Melen 
Menapiī, -iōrum, m.	Flandrija 
Messāna, -ae, f.	Mesina 
Metaris aestuārium, m.	Voš 
Mōns Apennīnus, m.	 Apenini
Mōns Pennīnus, m.	Veliki Sent Bernard
Moenus, -i, m.	Majna
Mogontiacum, -i, n.	Majnc
Mona, -ae, f.	Anglsi
Monacum, -i, n.	Minhen
 

Monapia, -ae, f. ostrvo	Man 
Montēs, -ium, m.	Mons
Mosa, -ae, f. reka	Mez
Moscovia, -ae, f.	Moskva
Mosella, -ae, f. reka	Mozel
Mutina, -ae, f.	Modena
Namnētēs, m.	Nant
Neāpolis, -is, m.	Napulj
Nemausus, -i, f.	Nim
Nemossus, -i, f.	Klermon
Nīcaea, -ae, f.	Nica
Nīcer, m. reka	Nekar
Nīlus, -i, m. reka	Nil
Nordovīcum, -i, n.	Noridž
Norvēgia, -ae, f.	 Norveška 
Novum Castrum, -i, n.	Njukasl 
Olisīpō, m.	 Lisabon
Orcades, f.	Orknijska ostrva
Oxonia, -ae, f.	Oksford
Padus, -i, m. reka	Po
Panormus, -i, m.	Palermo
Parīsiī, iōrum, m.	Pariz
Patavium, -ĭi, n.	Padova
Patrae, -ārum, f.	Patras
Placentia, -ae, f.	Pjačenca
Pōns Aeliī, m.	Njukasl
Polōnia, -ae, f.	Poljska
Pontus Euxīnus, m.	Crno more
Portus Calēnsis, m.	Porto
Prāga, -ae, f.	Prag
Prōvincia, -ae, f.	Provansa
Propotnis, ĭdis, f.	Mramorno more
Pyrēnaeī montēs, m.	Pirineji
 

Ratae Coritānōrum, f.	Lester 
Rēgnum, -i, n.	Čičister 
Rhodanus, -i, m. reka	Rona 
Rhodos, f.	 Rod, Rodos
Rōma, -ae, f.	 Rim 
Roterodamum, -i, n.	Roterdam 
Rothomagus, -i, f.	Ruan
Sabaudia, -ae, f.	Savoja
Sabrīna, -ae, f. reka	Severn
Salisberia, -ae, f.	Salzbri
Salōpia, -ae, f.	Šruzbri
Samara, -ae, f. reka	Soma 
Sangallēnse coenobium, n. Sent Galen 
Sangona, -ae, f. reka	Sar
Sarnia, -ae, f.	 Gernzi 
Scaldis, -is, m. reka	Esko, Šelda 
Sēquana, -ae, f. reka	Sena
Sēres, -um, m.	Kina
Segontium, -ĭi, n.	Karnarvon
Sicilia, -ae, f.	Sicilija
Singidunum, -i, n.	Beograd
Sinus Arābicus, m.	Crveno more
Slesvīcum, -i, n.	Šlezvig
Suēcia, -ae, f.	Švedska
Suēvia, -ae, f.	Švapska, Švabija
Syrācūsae, -arum, f.	 Sirakuza 
Syrtis (māior), f. zaliv	Sidra 
Tāprobanē, -ēs, f.	 Cejlon
Tamesis, -is, m.	Temza
Tanais, -is, m. reka	Don
Taodūnum, -i, n.	Dandi
Tarentum, -i, n.	Taranto
Tarracō, -ōnis, f.	Taragona
 

Taurunum, -i, n.	Zemun
Taus, -i, m. reka	Tej
Tergeste, -is, n.	Trst
Thēbae, -ārum, f.	Teba
Tībur, -ŭris, m.	Tivoli
Tiberis, -is, m. reka	Tibar
Tingī, f.	Tandžer
Tolētum, -i, n.	Toledo
Tolōna, -ae, f.	Tulon
Tolōsa, -ae, f.	Tuluz
Tripolis, -is, f.	Tripoli, Tripolis
Tunēs, -ētis, m.	Tunis
Turicum, -i, n.	Cirih
Ultrāiectum, -i, n.	Utreht
Varsavia, -ae, f.	 Varšava 
Vascōnes, -ōnum, m.	 Baski 
Vērona, -ae, f.	Bern
Vectis, -is, f. ostrvo	Vajt
Venetī, -ōrum, m.	Venecija
Venetiae, -arum, f.	Venecija
Venta Belgārum, f.	Vinčester 
Verbannus, -i, m. jezero	Mađore 
Versāliae, -ārum, f.	Versaj
Verulamium, -ĭi, n.	Sent Olbanz
Vesontiō, -ōnis, m.	Bezanson
Viadrus, -i, m. reka	Odra
Vigornia, -ae, f.	Vuster
Vindobona, -ae, f.	Beč
Virodūnum, -i, n.	Verden 
Visurgis, -is, m. reka	Vezer 
Vormatia, -ae, f.	 Vorms
Vosegus, -i, m.	Vogezi 
Westmonastērium, -ĭi, n. Vestminster
 
 
Aemilia	@@@ Emilija
Albertus		@@@ Albert
Alfrēdus	@@@ 	Alfred
Alicia		@@@ Alisa
Antōnius	@@@ 	Antonije
Arturus		@@@ Artur
Basilius	@@@ 	Vasilije, Vasa
Beātrix		@@@ Beatrisa
Bernardus	@@@ 	Bernard
Caecilius	@@@ 	Cecilije
Carolus		@@@  Čarls 
Christophorus	@@@ 	Kristifor 
Caecilia	@@@ 	 Cecilija
Claudius	@@@ 	Klaudije
Clēmēns		@@@ Klementin
Cyrillus		@@@ Ćirilo
Dionysius	@@@ 	Denis
Dorothea	@@@ 	Doroteja
Eduardus		@@@ Edvard
Francesca	@@@ 	Frančeska
Franciscus	@@@ 	Franja, Franc
Frēderīcus	@@@ 	Frederik
Gaufridus	@@@ 	Džefri
Geōrgius	@@@ 	Đorđe
Iuliāna		@@@ Julijana
Gōdefridus	@@@ 	Godfrid
Grātia		@@@ Gracija
Gregorius		@@@ Grigorije
 
Guido		@@@ Gideon
Helena	@@@ 	Jelena
Henricus	@@@ 	Henri
Horātius	@@@ 	Horacije
Hūgo	@@@ 	Hugo
Iacobus		@@@ Jakov
Ioanna		@@@ Jovana
Ioannes		@@@ Jovan
Iosephus	@@@ 	Josif
Laurentius	@@@ 	Lordan
Ludovica	@@@ 	Ludviga
Ludovicus	@@@ 	Ludvig
Lucia		@@@ Lucija
Lucas		@@@ Luka
Margarita		@@@ Margareta
Marcus		@@@ Marko
Maria		@@@ Marija
Mattheus		@@@ Matej
Mauritius	@@@ 	Moris
Normannus	@@@ 	Norman
Olivarus	@@@ 	Oliver
Patricius	@@@ 	Patrik
Paulus	@@@ 	Pavle
Petrus		@@@ Petar
Philippus		@@@ Filip
Stephanus	@@@ 	Stefan
Thomas	@@@ 	Toma
Timotheus	@@@ 	Timotej
